date,rank,title,popularity,vote_average,release_date
2026-01-11,1,Predator: Badlands,788.0559,7.7,2025-11-05
2026-01-11,2,People We Meet on Vacation,120.6873,7.1,2026-01-06
2026-01-11,3,Zootopia 2,256.7834,7.581,2025-11-26
2026-01-11,4,Avatar: Fire and Ash,364.9943,7.356,2025-12-17
2026-01-11,5,xXx,71.91,5.981,2002-08-09
2026-01-11,6,Greenland 2: Migration,49.2416,6.694,2026-01-07
2026-01-11,7,The Housemaid,172.5762,7.2,2025-12-18
2026-01-11,8,Wicked: For Good,67.2926,6.7,2025-11-19
2026-01-11,9,TRON: Ares,90.3424,6.55,2025-10-08
2026-01-11,10,One Battle After Another,68.0053,7.4,2025-09-23
2026-01-11,11,Five Nights at Freddy's 2,144.2578,6.806,2025-12-03
2026-01-11,12,The Tank,394.5915,7.115,2025-09-18
2026-01-11,13,Wake Up Dead Man: A Knives Out Mystery,55.9046,7.205,2025-11-26
2026-01-11,14,Primate,46.832,6.4,2026-01-01
2026-01-11,15,Hamnet,20.2364,7.662,2025-11-26
2026-01-11,16,Bugonia,40.5088,7.405,2025-10-23
2026-01-11,17,Nuremberg,38.6895,7.314,2025-11-06
2026-01-11,18,Million Dollar Madness,7.0898,5.056,2025-09-24
2026-01-11,19,Marty Supreme,48.9955,8.1,2025-12-19
2026-01-11,20,Demon Slayer: Kimetsu no Yaiba Infinity Castle,165.1493,7.639,2025-07-18
2026-01-12,1,One Battle After Another,67.4235,7.4,2025-09-23
2026-01-12,2,Hamnet,17.5016,7.8,2025-11-26
2026-01-12,3,Predator: Badlands,816.4153,7.761,2025-11-05
2026-01-12,4,People We Meet on Vacation,137.421,7.18,2026-01-06
2026-01-12,5,Wicked: For Good,64.9189,6.7,2025-11-19
2026-01-12,6,Avatar: Fire and Ash,371.9098,7.36,2025-12-17
2026-01-12,7,xXx,74.0237,5.981,2002-08-09
2026-01-12,8,Zootopia 2,261.6296,7.6,2025-11-26
2026-01-12,9,The Housemaid,175.8914,7.2,2025-12-18
2026-01-12,10,Marty Supreme,47.5445,8.0,2025-12-19
2026-01-12,11,Greenland 2: Migration,59.7975,6.8,2026-01-07
2026-01-12,12,The Secret Agent,16.0184,7.917,2025-07-23
2026-01-12,13,Five Nights at Freddy's 2,142.8707,6.8,2025-12-03
2026-01-12,14,TRON: Ares,95.4641,6.556,2025-10-08
2026-01-12,15,Primate,53.9084,6.5,2026-01-01
2026-01-12,16,One Last Adventure: The Making of Stranger Things 5,7.1756,9.0,2026-01-11
2026-01-12,17,Sinners,36.7783,7.5,2025-04-16
2026-01-12,18,The Tank,348.5131,7.0,2025-09-18
2026-01-12,19,28 Years Later: The Bone Temple,26.1429,8.8,2026-01-14
2026-01-12,20,Now You See Me: Now You Don't,127.4545,6.6,2025-11-12
2026-01-13,1,Rental Family,19.4021,7.8,2025-11-20
2026-01-13,2,One Last Adventure: The Making of Stranger Things 5,26.147,7.176,2026-01-11
2026-01-13,3,One Battle After Another,90.4131,7.444,2025-09-23
2026-01-13,4,Song Sung Blue,17.5366,7.4,2025-12-25
2026-01-13,5,28 Years Later: The Bone Temple,29.1155,8.2,2026-01-14
2026-01-13,6,People We Meet on Vacation,132.8396,7.2,2026-01-06
2026-01-13,7,Dust Bunny,6.019,6.5,2025-12-11
2026-01-13,8,Avatar: Fire and Ash,340.0394,7.362,2025-12-17
2026-01-13,9,Hamnet,46.6575,7.6,2025-11-26
2026-01-13,10,Predator: Badlands,695.9958,7.775,2025-11-05
2026-01-13,11,The Housemaid,167.0359,7.223,2025-12-18
2026-01-13,12,xXx,73.31,5.982,2002-08-09
2026-01-13,13,Greenland 2: Migration,65.2692,7.0,2026-01-07
2026-01-13,14,Pillion,8.8452,7.5,2025-10-31
2026-01-13,15,Marty Supreme,55.9348,8.062,2025-12-19
2026-01-13,16,The Internship,0.7018,0.0,2026-01-13
2026-01-13,17,Zootopia 2,239.6306,7.581,2025-11-26
2026-01-13,18,Wicked: For Good,57.773,6.727,2025-11-19
2026-01-13,19,Primate,51.8418,6.4,2026-01-01
2026-01-13,20,The Secret Agent,33.1155,7.936,2025-07-23
2026-01-14,1,Rental Family,70.6277,7.708,2025-11-20
2026-01-14,2,Dust Bunny,27.2732,7.086,2025-12-11
2026-01-14,3,Song Sung Blue,39.4462,7.6,2025-12-25
2026-01-14,4,28 Years Later: The Bone Temple,38.4967,6.417,2026-01-14
2026-01-14,5,The Internship,15.2624,7.0,2026-01-13
2026-01-14,6,Avatar: Fire and Ash,320.2335,7.362,2025-12-17
2026-01-14,7,Pillion,22.3954,7.7,2025-10-31
2026-01-14,8,xXx,73.384,5.982,2002-08-09
2026-01-14,9,One Last Adventure: The Making of Stranger Things 5,40.2255,7.66,2026-01-11
2026-01-14,10,Marty Supreme,57.4599,8.0,2025-12-19
2026-01-14,11,One Battle After Another,89.7417,7.445,2025-09-23
2026-01-14,12,Greenland 2: Migration,67.4921,6.8,2026-01-07
2026-01-14,13,The Housemaid,164.7956,7.246,2025-12-18
2026-01-14,14,Wicked: For Good,53.728,6.719,2025-11-19
2026-01-14,15,Hamnet,38.1611,7.6,2025-11-26
2026-01-14,16,People We Meet on Vacation,134.6568,7.217,2026-01-06
2026-01-14,17,Predator: Badlands,592.3775,7.785,2025-11-05
2026-01-14,18,Zootopia 2,223.8622,7.6,2025-11-26
2026-01-14,19,Primate,53.5564,6.5,2026-01-01
2026-01-14,20,Scream 7,8.3122,0.0,2026-02-25
